1,2,3,4,5,6,7,8,9,10,11,12,13,14,
Timestamp,BRANCH,ZIP CODE,What are you submitting stats for?,Size,,Number of PACKS OF DIAPERS distributed,Size,,Number of PACKS OF DIAPERS distributed,Size,,Number of PACKS OF DIAPERS distributed,Number of FLOW KITS distributed,Number of REUSABLE FLOW KITS distributed
0/0/0000 00:00:00,----,-----,Flow Kits,,,,,,,,,,0,
0/0/0000 00:00:00,----,-----,Resuable Flow Kits,,,,,,,,,,,0
0/0/0000 00:00:00,----,-----,Diapers,0,0,0,,,,,,,,
1/2/2024 9:29:02,LC,63137,Diapers,5,5,1,,,,,,,,
1/2/2024 9:29:19,LC,63137,Resuable Flow Kits,,,,,,,,,,,1
1/2/2024 9:38:49,LC,63136,Diapers,3,3,1,4,4,1,,,,,
1/2/2024 9:48:33,WR,63123,Diapers,4T,4T,1,,,,,,,,
1/2/2024 10:00:31,LC,62040,Diapers,4,4,1,4,4,1,,,,,
1/2/2024 10:01:09,LC,62040,Resuable Flow Kits,,,,,,,,,,,1
1/2/2024 10:50:17,GG,63125,Diapers,2,2,1,2,2,1,3,3,1,,
1/2/2024 10:50:40,GG,63125,Flow Kits,,,,,,,,,,1,
1/2/2024 10:57:30,LC,63121,Diapers,6,6,1,,,,,,,,
1/2/2024 11:00:27,LC,63033,Diapers,5,5,1,5,5,1,,,,,
1/2/2024 11:01:55,LC,63136,Diapers,5,5,1,1,1,1,,,,,
1/2/2024 11:25:55,FV,63136,Flow Kits,,,,,,,,,,2,
1/2/2024 12:02:29,LC,63136,Diapers,6,6,2,,,,,,,,
1/2/2024 12:05:11,LC,63138,Diapers,3,3,1,5,5,1,,,,,
1/2/2024 12:05:32,WR,63125,Diapers,6,6,1,6,6,1,,,,,
1/2/2024 12:25:19,WR,63123,Diapers,3,3,1,3,3,1,3,3,1,,
1/2/2024 12:36:12,PV,63130,Diapers,4,4,1,,,,,,,,
1/2/2024 13:09:50,LC,63136,Diapers,6,6,1,6,6,1,,,,,
1/2/2024 13:18:38,WR,63125,Diapers,5,5,1,5,5,1,,,,,
1/2/2024 13:27:54,LC,63137,Diapers,5,5,1,,,,,,,,
1/2/2024 13:28:01,WR,63125,Diapers,5,5,2,,,,,,,,
1/2/2024 13:30:09,PV,63114,Diapers,6,6,1,6,6,1,,,,,
1/2/2024 13:30:09,LC,63137,Diapers,3,3,1,,,,,,,,
1/2/2024 13:38:46,FV,63033,Diapers,4T,4T,1,,,,,,,,
1/2/2024 13:43:33,PV,63043,Diapers,6,6,1,,,,,,,,
1/2/2024 13:55:16,LC,63136,Diapers,6,6,1,6,6,1,,,,,
1/2/2024 13:55:29,LC,63136,Resuable Flow Kits,,,,,,,,,,,1
1/2/2024 14:02:41,PV,63114,Diapers,3T,3T,1,,,,,,,,
1/2/2024 14:07:05,LC,63033,Diapers,6,6,1,4,4,1,,,,,
1/2/2024 14:11:42,LC,63136,Diapers,4,4,1,5,5,1,6,6,1,,
1/2/2024 14:16:01,NB,63133,Diapers,3,3,1,,,,,,,,
1/2/2024 14:18:40,FV,63114,Diapers,3T,3T,1,,,,,,,,
1/2/2024 14:21:51,NB,63130,Diapers,1,1,2,4,4,2,5,5,1,,
1/2/2024 14:23:01,LC,63138,Diapers,5,5,1,,,,,,,,
1/2/2024 14:23:18,LC,63138,Resuable Flow Kits,,,,,,,,,,,1
1/2/2024 14:28:47,LC,63137,Diapers,5,5,1,,,,,,,,
1/2/2024 14:49:39,FV,63031,Diapers,3,3,1,4,4,1,,,,,
1/2/2024 14:55:52,LC,63137,Diapers,6,6,1,5,5,1,,,,,
1/2/2024 15:29:56,GG,63011,Diapers,5,5,1,,,,,,,,
1/2/2024 15:34:21,PV,63133,Diapers,5,5,1,,,,,,,,
1/2/2024 15:51:10,WR,63123,Diapers,5,5,1,,,,,,,,
1/2/2024 16:02:33,FV,63031,Diapers,4,4,2,,,,,,,,
1/2/2024 16:13:19,LC,63121,Diapers,4,4,1,,,,,,,,
1/2/2024 16:42:23,PV,63121,Diapers,5,5,1,5,5,1,5,5,1,,
1/2/2024 16:42:53,PV,63121,Diapers,1,1,1,,,,,,,,
1/2/2024 16:51:59,LC,63137,Diapers,5,5,1,,,,,,,,
1/2/2024 17:00:50,WR,63123,Diapers,2T,2T,1,,,,,,,,
1/2/2024 17:09:58,LC,63138,Diapers,6,6,1,,,,,,,,
1/2/2024 17:44:35,WR,63139,Diapers,6,6,1,6,6,1,,,,,
1/2/2024 17:45:26,WR,63139,Flow Kits,,,,,,,,,,1,
1/2/2024 17:48:46,WR,63108,Diapers,1,1,1,,,,,,,,
1/2/2024 18:01:07,LC,63138,Diapers,6,6,1,6,6,1,,,,,
1/2/2024 18:36:13,WR,63116,Diapers,1,1,1,,,,,,,,
1/2/2024 18:39:52,LC,63136,Diapers,4,4,1,,,,,,,,
1/2/2024 18:40:34,LC,63136,Diapers,3,3,1,4,4,1,,,,,
1/2/2024 9:28:53,NB,63121,Diapers,6,6,2,,,,,,,,
1/2/2024 10:01:46,NB,63136,Diapers,3T,3T,2,,,,,,,,
1/2/2024 10:29:28,NB,63121,Diapers,5,5,1,,,,,,,,
1/2/2024 10:29:40,NB,63121,Diapers,4,4,1,,,,,,,,
1/2/2024 10:29:50,NB,63121,Diapers,1,1,2,,,,,,,,
1/2/2024 10:30:12,NB,63121,Diapers,3,3,1,,,,,,,,
1/2/2024 10:30:20,NB,63121,Diapers,3,3,1,,,,,,,,
1/2/2024 11:06:28,NB,63108,Diapers,6,6,1,,,,,,,,
1/3/2024 12:27:37,NB,63130,Diapers,6,6,1,,,,,,,,
1/3/2024 13:24:24,NB,63133,Diapers,5,5,2,,,,,,,,
1/3/2024 13:40:17,NB,63136,Diapers,4,4,2,,,,,,,,
1/3/2024 16:16:50,NB,63114,Diapers,4,4,1,,,,,,,,
1/4/2024 13:08:34,NB,63114,Diapers,5,5,1,,,,,,,,
1/4/2024 13:08:48,NB,63114,Diapers,6,6,1,,,,,,,,
1/4/2024 14:16:22,NB,63134,Diapers,6,6,2,,,,,,,,
1/4/2024 14:40:28,NB,63121,Diapers,4,4,1,,,,,,,,
1/4/2024 16:18:11,NB,63121,Diapers,6,6,2,,,,,,,,
1/4/2024 17:44:06,NB,63136,Diapers,3,3,1,,,,,,,,
1/4/2024 17:44:19,NB,63136,Diapers,4,4,1,,,,,,,,
1/4/2024 17:45:26,NB,63136,Diapers,5,5,1,,,,,,,,
1/5/2024 10:19:40,NB,63740,Diapers,6,6,1,,,,,,,,
1/5/2024 11:24:32,NB,63114,Diapers,5,5,1,,,,,,,,
1/5/2024 11:24:47,NB,63121,Diapers,6,6,1,,,,,,,,
1/5/2024 12:59:48,NB,63121,Diapers,6,6,1,,,,,,,,
1/3/2024 9:13:34,LC,63136,Diapers,5,5,1,4,4,1,,,,,
1/3/2024 9:15:04,FV,63033,Diapers,5,5,1,5,5,1,,,,,
1/3/2024 9:20:09,FV,63135,Diapers,6,6,1,6,6,1,,,,,
1/3/2024 9:47:52,LC,63136,Diapers,N,N,1,6,6,1,,,,,
1/3/2024 9:53:29,LC,63138,Diapers,N,N,1,5,5,1,,,,,
1/3/2024 10:02:17,LC,63136,Diapers,3,3,1,4,4,1,,,,,
1/3/2024 10:04:05,LC,63138,Diapers,5,5,1,6,6,1,,,,,
1/3/2024 10:05:04,GG,63011,Flow Kits,,,,,,,,,,2,
1/3/2024 10:07:10,GG,63146,Diapers,N,N,1,4,4,1,,,,,
1/3/2024 10:25:28,WR,63111,Diapers,6,6,1,6,6,1,,,,,
1/3/2024 10:34:14,WR,63109,Diapers,2,2,1,,,,,,,,
1/3/2024 10:47:23,LC,63136,Diapers,5,5,1,5,5,1,,,,,
1/3/2024 10:49:15,LC,63147,Diapers,4,4,1,,,,,,,,
1/3/2024 10:52:23,LC,63112,Diapers,4,4,1,,,,,,,,
1/3/2024 10:56:31,LC,63115,Diapers,4,4,1,,,,,,,,
1/3/2024 11:06:54,WR,63128,Diapers,5,5,1,,,,,,,,
1/3/2024 11:07:09,WR,63129,Diapers,5,5,1,,,,,,,,
1/3/2024 11:08:08,FV,63136,Diapers,6,6,1,,,,,,,,
1/3/2024 11:08:33,FV,63136,Diapers,3T,3T,1,4,4,1,,,,,
1/3/2024 11:29:35,FV,63031,Diapers,6,6,1,6,6,1,,,,,
1/3/2024 11:41:48,LC,63136,Diapers,5,5,1,6,6,1,,,,,
1/3/2024 11:50:12,LC,63137,Diapers,5,5,1,,,,,,,,
1/3/2024 11:54:07,LC,63137,Diapers,3,3,1,,,,,,,,
1/3/2024 11:56:11,WR,63125,Diapers,6,6,1,6,6,1,,,,,
1/3/2024 11:57:09,LC,63133,Diapers,5,5,1,5,5,1,,,,,
1/3/2024 12:02:39,WR,63125,Diapers,6,6,1,,,,,,,,
1/3/2024 12:04:04,FV,63033,Flow Kits,,,,,,,,,,2,
1/3/2024 12:05:04,FV,63033,Diapers,5,5,1,5,5,1,,,,,
1/3/2024 12:06:36,WR,63111,Diapers,4,4,1,,,,,,,,
1/3/2024 12:17:30,FV,63042,Diapers,4,4,1,,,,,,,,
1/3/2024 12:44:01,WR,63123,Diapers,6,6,1,6,6,1,,,,,
1/3/2024 12:48:52,FV,63033,Diapers,6,6,1,6,6,1,,,,,
1/3/2024 12:51:55,FV,63042,Diapers,6,6,1,,,,,,,,
1/3/2024 13:09:28,FV,63141,Diapers,6,6,1,,,,,,,,
1/3/2024 13:20:00,LC,63137,Diapers,6,6,1,,,,,,,1,
1/3/2024 13:19:49,FV,63031,Diapers,6,6,1,6,6,1,6,6,1,,
1/3/2024 13:24:35,FV,63033,Flow Kits,5,5,1,,,,,,,2,
1/3/2024 13:31:14,FV,63130,Diapers,2T,2T,1,,,,,,,,
1/3/2024 13:31:52,FV,63130,Flow Kits,,,,,,,,,,2,
1/3/2024 14:05:07,LC,63137,Diapers,6,6,1,,,,,,,,
1/3/2024 14:05:52,WR,63116,Diapers,3,3,1,,,,,,,,
1/3/2024 14:11:54,PV,63121,Diapers,5,5,1,,,,,,,,
1/3/2024 14:14:52,WR,63010,Diapers,6,6,1,,,,,,,,
1/3/2024 14:18:15,LC,63138,Diapers,1,1,1,5,5,1,,,,,
1/3/2024 14:27:34,LC,63137,Resuable Flow Kits,,,,,,,,,,,1
1/3/2024 14:30:12,PV,63114,Diapers,4T,4T,1,,,,,,,,
1/3/2024 14:36:24,FV,63033,Diapers,5,5,1,6,6,1,,,,,
1/3/2024 14:53:13,LC,63136,Diapers,4,4,2,,,,,,,,
1/3/2024 15:07:21,FV,63121,Diapers,3T,3T,1,,,,,,,,
1/3/2024 15:07:37,FV,63037,Diapers,3T,3T,1,,,,,,,,
1/3/2024 15:24:47,WR,63123,Diapers,4,4,1,,,,,,,,
1/3/2024 15:25:03,PV,63033,Diapers,5,5,1,,,,,,,,
1/3/2024 15:30:32,PV,63114,Diapers,5,5,1,6,6,1,,,,,
1/3/2024 15:49:26,LC,63135,Diapers,3,3,1,,,,,,,,
1/3/2024 15:53:24,FV,63033,Diapers,5,5,1,,,,,,,,
1/3/2024 16:14:48,FV,63042,Diapers,4,4,1,5,5,1,,,,,
1/3/2024 16:20:04,WR,63128,Diapers,4,4,1,,,,,,,,
1/3/2024 16:35:23,PV,63134,Diapers,5,5,1,,,,,,,,
1/3/2024 16:53:10,LC,63033,Diapers,5,5,1,6,6,1,,,,,
1/3/2024 17:41:45,FV,63033,Diapers,5,5,3,6,6,1,,,,,
1/3/2024 18:07:36,LC,63136,Diapers,5,5,1,,,,,,,,
1/3/2024 18:45:59,NB,63366,Diapers,5,5,1,,,,,,,,
1/3/2024 18:53:18,FV,63033,Diapers,6,6,1,,,,,,,,
1/3/2024 19:42:11,FV,63135,Diapers,5,5,1,,,,,,,,
1/4/2024 9:10:37,LC,63033,Diapers,5,5,1,,,,,,,,
1/4/2024 9:34:04,PV,63136,Diapers,5,5,1,,,,,,,,
1/4/2024 9:51:46,FV,63033,Diapers,3,3,1,,,,,,,,
1/4/2024 10:00:14,WR,63129,Diapers,3,3,1,,,,,,,,
1/4/2024 10:17:22,FV,63031,Diapers,5,5,2,,,,,,,,
1/4/2024 11:04:14,LC,63136,Diapers,5,5,1,3,3,1,,,,,
1/4/2024 11:09:02,PV,63132,Diapers,6,6,1,,,,,,,,
1/4/2024 11:11:02,PV,63132,Diapers,5,5,1,,,,,,,,
1/4/2024 11:14:32,LC,63136,Diapers,6,6,4,,,,,,,,
1/4/2024 11:17:26,PV,63135,Diapers,4T,4T,1,,,,,,,,
1/4/2024 11:17:49,PV,63135,Resuable Flow Kits,,,,,,,,,,,1
1/4/2024 11:18:54,PV,63114,Diapers,5,5,1,,,,,,,,
1/4/2024 11:23:10,LC,63136,Diapers,3,3,1,,,,,,,,
