Timestamp,BRANCH,ZIP CODE,Size,Number of PACKS OF DIAPERS distributed,Size.1,Number of PACKS OF DIAPERS distributed.1,Size.2,Number of PACKS OF DIAPERS distributed.2,Number of FLOW KITS distributed,Number of REUSABLE FLOW KITS distributed,Do you want to record distribution statistics?,Are you submitting statistics or enrolling a new diaper patron?
9/9/2023 8:55:18,FV,12345,0,0.0,0,0.0,0,0.0,0.0,0.0,,Diaper Distribution
10/17/2025 8:54:37,PV,63114,4,1.0,6,1.0,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 8:59:27,FV,63137,5,2.0,4,1.0,,,1.0,,,Statistics (Diapers + Flow Kits)
10/17/2025 9:00:27,WR,63125,5,1.0,6,1.0,,,1.0,,,Statistics (Diapers + Flow Kits)
10/17/2025 9:00:27,FV,63031,3,1.0,,,,,1.0,,,Statistics (Diapers + Flow Kits)
10/17/2025 9:04:45,GG,63021,5,2.0,,,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 9:05:31,WR,63139,6,2.0,,,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 9:16:35,FV,63031,,,,,,,1.0,,,Statistics (Diapers + Flow Kits)
10/17/2025 9:29:00,FV,63031,2,1.0,,,,,1.0,,,Statistics (Diapers + Flow Kits)
10/17/2025 9:49:34,LC,63042,N,1.0,4,1.0,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 10:13:21,LC,63136,5,1.0,5,1.0,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 10:26:34,PV,63114,5,1.0,5,1.0,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 10:48:25,WR,63123,6,1.0,,,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 10:49:31,WR,63123,5,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 10:56:48,FV,63033,3,1.0,,,,,1.0,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 10:58:14,FV,63033,3,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 11:18:48,WR,63123,5,1.0,,,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 11:23:58,LC,63031,4,1.0,5,1.0,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 11:24:30,LC,63136,6,1.0,6,1.0,4,1.0,,,,Statistics (Diapers + Flow Kits)
10/17/2025 11:24:53,LC,63136,3,1.0,4,1.0,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 11:27:51,FV,63033,,,,,,,1.0,,,Statistics (Diapers + Flow Kits)
10/17/2025 11:27:56,LC,63115,3,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 11:30:54,LC,63136,3,1.0,,,,,,,,Statistics (Diapers + Flow Kits)
10/17/2025 11:30:55,LC,63034,4,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 11:31:36,LC,63034,2,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 11:53:56,LC,63137,6,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 11:55:09,LC,63137,4,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
10/17/2025 12:03:52,GG,63109,2,1.0,,,,,,,Yes,NEW ENROLLMENT - Diapers
